# Auto-generated by harness/gen-types.py from reference/valkey/src/*.{c,h}
# DO NOT hand-edit. To refine the suggested Rust mapping, change C_TO_RUST
# in the generator. To add new canonical Rust types, edit type-vocabulary.tsv.
#
# Total struct types: 346
# Columns (tab-separated):
#   c_name        C type identifier (typedef name preferred)
#   c_tag         struct tag (when typedef used `struct X { ... } Y;`)
#   file          where defined
#   line          line number
#   n_fields      number of parsed fields
#   fields_brief  first 5 fields as `type:name` (truncated)
#   rust_mapping  suggested Rust type or 'TODO(architect)'

clusterState	clusterState	cluster_legacy.h	432	38	clusterNode *:myself; uint64_t:currentEpoch; int:state; int:fail_reason; int:safe_to_join; ...	TODO(architect): assign canonical Rust type
slotMigrationJob	slotMigrationJob	cluster_migrateslots.c	52	19	slotMigrationJobType:type; time_t:ctime; time_t:last_update; time_t:last_ack; char:target_node_name; ...	TODO(architect): assign canonical Rust type
slotStatForSort		cluster_slot_stats.c	24	2	int:slot; uint64_t:stat	TODO(architect): assign canonical Rust type
commandlogEntry	commandlogEntry	commandlog.h	39	7	robj **:argv; int:argc; long long:id; long long:value; time_t:time; ...	TODO(architect): assign canonical Rust type
serverCommandArg	serverCommandArg	commands.h	64	11	const char *:name; serverCommandArgType:type; int:key_spec_index; const char *:token; const char *:summary; ...	TODO(architect): assign canonical Rust type
deprecatedConfig	deprecatedConfig	config.c	54	3	const char *:name; const int:argc_min; const int:argc_max	TODO(architect): assign canonical Rust type
boolConfigData	boolConfigData	config.c	203	2	int *:config; int:default_value	TODO(architect): assign canonical Rust type
stringConfigData	stringConfigData	config.c	210	3	char **:config; const char *:default_value; int:convert_empty_to_null	TODO(architect): assign canonical Rust type
sdsConfigData	sdsConfigData	config.c	219	3	sds *:config; char *:default_value; int:convert_empty_to_null	TODO(architect): assign canonical Rust type
enumConfigData	enumConfigData	config.c	228	3	int *:config; configEnum *:enum_value; int:default_value	TODO(architect): assign canonical Rust type
typeInterface	typeInterface	config.c	282	1	apply_fn:apply	TODO(architect): assign canonical Rust type
standardConfig	standardConfig	config.c	299	7	const char *:name; const char *:alias; unsigned int:flags; typeInterface:interface; typeData:data; ...	TODO(architect): assign canonical Rust type
rewriteConfigState	rewriteConfigState	config.c	1064	6	dict *:option_to_line; dict *:rewritten; int:numlines; sds *:lines; int:needs_signature; ...	TODO(architect): assign canonical Rust type
